"annotation"	"coefficient.agl"	"pvalue.agl"	"adj.pvalue.agl"
"CKAP1"	1.62481996131214	1.38120114728289e-09	8.00484596705179e-09
"FANCD2"	-1.69800130920446	1.381364805632e-09	8.00484596705179e-09
"TSNAXIP1"	0.957766003726	1.3821573972964e-09	8.00838256668796e-09
"HNRPK"	-1.30726434425132	1.38715851760009e-09	8.03629972790317e-09
"RPS27L"	-1.09161738047035	1.39143834828015e-09	8.06003139218031e-09
"HDAC4"	0.884740974452438	1.39244998381941e-09	8.06387827776008e-09
"AES"	3.68498814079158	1.39246956852992e-09	8.06387827776008e-09
"STCH"	-0.918615770787074	1.39534064707353e-09	8.0794398268864e-09
"MSX2P"	-1.14602789392001	1.39575985302395e-09	8.08080206947748e-09
"SYNC1"	-1.37732684816998	1.39898868493662e-09	8.09842824060494e-09
"THC2296299"	-1.24542655619241	1.39919484431668e-09	8.09855450667672e-09
"SLITRK1"	1.274193076728	1.40205409575156e-09	8.11403484132025e-09
"FLJ25410"	1.1993345697777	1.40322506857377e-09	8.11974189772318e-09
"THC2280739"	0.981977656190516	1.40425592130142e-09	8.12408107795363e-09
"FSHPRH1"	-0.864123598122594	1.40445384878176e-09	8.12408107795363e-09
"E1A_r60_n9"	1.02057613516541	1.40452973497207e-09	8.12408107795363e-09
"ENST00000361500"	-1.04447952224124	1.40498914167096e-09	8.12566850747064e-09
"A_24_P418019"	-1.77493290334738	1.40708340547357e-09	8.13670937025926e-09
"EIF3S6"	-0.908454128004909	1.4084589464851e-09	8.14255635645575e-09
"LRRK2"	1.04280710598195	1.40846522393543e-09	8.14255635645575e-09
"AGRN"	-1.23832933816066	1.40935647474422e-09	8.14663674894583e-09
"ARC"	1.61756731841873	1.41007267147359e-09	8.14970431923511e-09
"TRAF3IP1"	0.758151518852284	1.41209855625762e-09	8.16033960470318e-09
"CHCHD7"	-0.834026927210803	1.41683458607264e-09	8.18663161919729e-09
"SLC4A7"	0.840833178886514	1.41778904234209e-09	8.19106922923858e-09
"DHX37"	-1.32987260984154	1.41929357412692e-09	8.19868323536751e-09
