"annotation"	"coefficient.affx"	"pvalue.affx"	"adj.pvalue.affx"
"ELAVL4"	7.7623892338694	3.73208428208133e-16	1.4222040910686e-13
"SLITRK4"	6.42843846441543	3.74966669823253e-16	1.4222040910686e-13
"LINC00844"	8.41054622549562	3.80934978104095e-16	1.43269965378377e-13
"MFAP2"	-6.11523986112582	3.91696526445528e-16	1.4586669008493e-13
"OIP5-AS1"	3.26507217041581	3.94427550595218e-16	1.4586669008493e-13
"FAM49A"	6.58518492076096	3.97616770720384e-16	1.4586669008493e-13
"CRTAC1"	4.93315380350278	4.1824414691396e-16	1.52186463733993e-13
"HJURP"	-6.35670250270008	4.32950667217663e-16	1.56267258564466e-13
"CBLN2"	6.10749176000191	4.63701825869606e-16	1.66027511348961e-13
"BRIP1"	-4.51506892018803	4.98145093636033e-16	1.7694430008551e-13
"GNAO1"	7.70096686541447	5.15030942899128e-16	1.81501770711759e-13
"GAGE7"	-8.56270084478514	5.19346004992026e-16	1.81592576557993e-13
"NRXN1"	8.40550518669868	5.28589568225799e-16	1.8238214960298e-13
"DPPA4"	-6.33384158884311	5.3293626138274e-16	1.8238214960298e-13
"DLGAP5"	-7.20000324447788	5.40689677651682e-16	1.8238214960298e-13
"AHCYL1"	1.5660955579988	5.41393938601471e-16	1.8238214960298e-13
"SRRM4"	5.90655749417328	5.46847714406689e-16	1.8238214960298e-13
"COL4A6"	-4.25636348199373	5.49339318014323e-16	1.8238214960298e-13
"GRM1"	6.75285129045964	5.53428434930486e-16	1.8238214960298e-13
"TMEM130"	7.26289884713344	5.54204404906721e-16	1.8238214960298e-13
"GABRG2"	6.99254991060409	5.72263540919111e-16	1.86950562316611e-13
"SPC25"	-6.03082176234695	5.86942403764652e-16	1.89706910796875e-13
"OPALIN"	6.53237516149539	5.91935778643187e-16	1.89706910796875e-13
"OLFM3"	6.31378776876712	5.94861364917981e-16	1.89706910796875e-13
"UNC80"	6.48896513724077	5.97655608686195e-16	1.89706910796875e-13
"WSCD2"	6.34593193026094	6.39871583548732e-16	2.01676708403571e-13
"ZFPM2"	6.40722391219774	6.500093291693e-16	2.03439283470638e-13
"JPH3"	7.11165341439688	6.56006111389836e-16	2.03890343898358e-13
"CDK1"	-7.4576453573045	6.65337547890949e-16	2.05157857485125e-13
"APOB"	-9.73303764464944	6.69252104585492e-16	2.05157857485125e-13
"NTRK3"	6.96058160066244	6.86617210600943e-16	2.07054414152179e-13
"RAB3C"	7.85974054090886	6.87953632923518e-16	2.07054414152179e-13
"GRIA2"	9.8265410265877	6.95590521045588e-16	2.07054414152179e-13
"PSD2"	6.55268405044703	6.97578950813597e-16	2.07054414152179e-13
"KRT18"	-7.74887552605286	6.98570393622733e-16	2.07054414152179e-13
"ITIH3"	-6.42034939334917	7.07160442206776e-16	2.08221531259253e-13
"HMP19"	7.77160021415504	7.17629134831806e-16	2.09922938291061e-13
"FN1"	-4.64661666410046	7.23325450562167e-16	2.10215284840002e-13
"SLC12A5"	8.95527535861929	7.33221669763456e-16	2.10574229249851e-13
"COL15A1"	-6.45595584817718	7.33970412078308e-16	2.10574229249851e-13
"BICD1"	-3.59789095052758	7.45177574804108e-16	2.12427818712947e-13
"WASF3"	4.38086551474233	7.51382328200926e-16	2.12840933423802e-13
"KIF2C"	-7.40740792081702	7.6599317195127e-16	2.15615033986484e-13
"SLFN11"	-3.52760913159044	7.74241635948775e-16	2.16574741615771e-13
"PCDH9"	7.09749435235536	7.83480242645049e-16	2.17797774781502e-13
"MOBP"	7.94703055567786	7.88665206165664e-16	2.17885802266361e-13
"CDC6"	-6.01413139195333	8.09305373410701e-16	2.22216388296744e-13
"HOPX"	8.91636085515004	8.52180571870968e-16	2.32562156552787e-13
"AMER2"	9.19251598394967	8.66230707998215e-16	2.34963767073746e-13
"COX7A1"	7.85830862313058	9.04571375079164e-16	2.4304513522385e-13
"SLC35F1"	6.08940822445546	9.06884832924814e-16	2.4304513522385e-13
"PRKACB"	4.18009385832059	9.27071263153073e-16	2.46976199129041e-13
"RFC5"	-4.86155820165932	9.45161669271818e-16	2.50305654851654e-13
"NTRK2"	9.35598081676532	9.78821163458073e-16	2.57694823480762e-13
"JPH3"	4.12678081857188	9.86387628739939e-16	2.58168214689384e-13
"AQP4"	6.68262252283075	9.92187365971472e-16	2.58176382275693e-13
"GABRG2"	8.78911740816701	1.01750764494335e-15	2.62714510833269e-13
"LIMCH1"	2.99541150198732	1.02136752357201e-15	2.62714510833269e-13
"SCN1B"	5.58312808952375	1.14205746959135e-15	2.92079566337318e-13
"SERPINA7"	-5.11654145934551	1.17471568237485e-15	2.98724858411185e-13
"STMN2"	11.2888447890308	1.19276700096175e-15	3.01601581327932e-13
"RGS4"	6.35045300523492	1.23432215939318e-15	3.09894590937268e-13
"NCAPG"	-6.05090737182675	1.23941218557894e-15	3.09894590937268e-13
"S100P"	-8.32409257293935	1.2532166345775e-15	3.1082644760319e-13
"CNKSR2"	5.60666028426435	1.25702893502944e-15	3.1082644760319e-13
"HPCAL4"	8.15106350247356	1.26726876088083e-15	3.11636706933968e-13
"GPM6A"	10.1408130188631	1.31671437860489e-15	3.21299726719975e-13
"FAM153B"	5.33415731305736	1.32092121093206e-15	3.21299726719975e-13
"MOBP"	7.64908965448809	1.34700308265916e-15	3.258728106351e-13
"TFPI2"	-8.63136507162842	1.35902711090373e-15	3.27014071911868e-13
"GABRA1"	9.37067777016037	1.38604891258818e-15	3.31732647763617e-13
"RAB9B"	4.33277790941171	1.42311555188759e-15	3.38792338512132e-13
"FAM155A"	4.50802748453362	1.43484511730429e-15	3.39777397196142e-13
"ERMN"	9.23879973895485	1.4538307459786e-15	3.42461309826413e-13
"CD55"	-3.81912624905587	1.48698185460135e-15	3.48436439186062e-13
"GNG5"	-2.88716642920685	1.50343398065635e-15	3.50456725199249e-13
"FAT2"	6.90714143777904	1.5763754727743e-15	3.65555754712366e-13
"SNRPB"	-2.81041589010218	1.61135350004223e-15	3.71740913648917e-13
"PHACTR3"	6.99430806450579	1.66347141969833e-15	3.80473533978104e-13
"SLC6A1"	8.45387343017885	1.66620816560257e-15	3.80473533978104e-13
"HIC2"	-2.79419595448887	1.75058673631073e-15	3.97711979544787e-13
"AQP1"	6.80539798976696	1.78268741492782e-15	3.99549789322005e-13
"LINC01105"	5.93597899090384	1.78750792602307e-15	3.99549789322005e-13
"DNAJC15"	4.76398707863425	1.79031338391187e-15	3.99549789322005e-13
"NDC80"	-6.63683058873241	1.79438528138625e-15	3.99549789322005e-13
"RIT2"	6.53659709959782	1.85288630588674e-15	4.09093983510072e-13
"VMP1"	-5.1705043377797	1.85552950783235e-15	4.09093983510072e-13
"FNDC5"	5.92806891874046	1.8952131200591e-15	4.15794894124339e-13
"AK5"	8.19714502337036	1.92137883010249e-15	4.19479175219838e-13
"AMBP"	-7.68086581226067	2.00440539727908e-15	4.35481397867099e-13
"CNTN2"	7.66617705615673	2.03078579155387e-15	4.39081395588333e-13
